230進んで高さ120でジャンプしてから520進んで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 120 ACTION move VALUE 520
130進んで120ジャンプ、150進んで120ジャンプ、最後に370進んで	REASON stone ACTION move VALUE 130 ACTION jump VALUE 120 ACTION move VALUE 150 ACTION jump VALUE 120 ACTION move VALUE 370
200進んで150ジャンプしてから450進んで	REASON hole ACTION move VALUE 200 ACTION jump VALUE 150 ACTION move VALUE 450
300進んで120の高さで岩を飛び越えて400進んで	REASON stone ACTION move VALUE 300 ACTION jump VALUE 120 ACTION move VALUE 400
100歩進んで120ジャンプして200歩進んで120ジャンプして最后に200歩進んで	REASON stone ACTION move VALUE 100 ACTION jump VALUE 120 ACTION move VALUE 200 ACTION jump VALUE 120 ACTION move VALUE 200
150進んで150の高さで大穴を飛び越えて500進んで	REASON hole ACTION move VALUE 150 ACTION jump VALUE 150 ACTION move VALUE 500
250前進して高さ120まで大ジャンプして450前進する	REASON stone ACTION move VALUE 250 ACTION jump VALUE 120 ACTION move VALUE 450
120進んで120飛んで、160進んで120飛んで、320進む	REASON stone ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 160 ACTION jump VALUE 120 ACTION move VALUE 320
180進んで150の大ジャンプをしてから470進む	REASON hole ACTION move VALUE 180 ACTION jump VALUE 150 ACTION move VALUE 470
220歩進んでから120ジャンプして500歩進む	REASON stone ACTION move VALUE 220 ACTION jump VALUE 120 ACTION move VALUE 500
140進んで120跳ねて、140進んで120跳ねて、末尾に350進んで	REASON stone ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 350
210前進して150跳び越えて440前進	REASON hole ACTION move VALUE 210 ACTION jump VALUE 150 ACTION move VALUE 440
240進んで120跳んで510進む	REASON stone ACTION move VALUE 240 ACTION jump VALUE 120 ACTION move VALUE 510
110進んで120ジャンプ、170進んで120ジャンプ、390進む	REASON stone ACTION move VALUE 110 ACTION jump VALUE 120 ACTION move VALUE 170 ACTION jump VALUE 120 ACTION move VALUE 390
190進んで150ジャンプして460進む	REASON hole ACTION move VALUE 190 ACTION jump VALUE 150 ACTION move VALUE 460
260歩進んで120の高さでジャンプし480歩進む	REASON stone ACTION move VALUE 260 ACTION jump VALUE 120 ACTION move VALUE 480
125進んで120ジャンプ、145進んで120ジャンプ、365進む	REASON stone ACTION move VALUE 125 ACTION jump VALUE 120 ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 365
170進んで150ジャンプ、そのあと490進む	REASON hole ACTION move VALUE 170 ACTION jump VALUE 150 ACTION move VALUE 490
280進んで120ジャンプして420進んで	REASON stone ACTION move VALUE 280 ACTION jump VALUE 120 ACTION move VALUE 420
135進んで120飛んで135進んで120飛んで380進む	REASON stone ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 380
225進んで150ジャンプ、最後に425進む	REASON hole ACTION move VALUE 225 ACTION jump VALUE 150 ACTION move VALUE 425
270前進し120ジャンプしてから430前進	REASON stone ACTION move VALUE 270 ACTION jump VALUE 120 ACTION move VALUE 430
105進んで120ジャンプ、155進んで120ジャンプ、345前進	REASON stone ACTION move VALUE 105 ACTION jump VALUE 120 ACTION move VALUE 155 ACTION jump VALUE 120 ACTION move VALUE 345
160進んで150ジャンプ、そして510進む	REASON hole ACTION move VALUE 160 ACTION jump VALUE 150 ACTION move VALUE 510
290歩進んで120ジャンプして410歩進む	REASON stone ACTION move VALUE 290 ACTION jump VALUE 120 ACTION move VALUE 410
115進んで120ジャンプ、165進んで120ジャンプ、355進む	REASON stone ACTION move VALUE 115 ACTION jump VALUE 120 ACTION move VALUE 165 ACTION jump VALUE 120 ACTION move VALUE 355
205進んで150ジャンプして445進む	REASON hole ACTION move VALUE 205 ACTION jump VALUE 150 ACTION move VALUE 445
310進んで120ジャンプして390進んで	REASON stone ACTION move VALUE 310 ACTION jump VALUE 120 ACTION move VALUE 390
140前進して120ジャンプ、160前進して120ジャンプ、330前進	REASON stone ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 160 ACTION jump VALUE 120 ACTION move VALUE 330
155進んで150ジャンプ、485進む	REASON hole ACTION move VALUE 155 ACTION jump VALUE 150 ACTION move VALUE 485
320進んで120ジャンプ、380進む	REASON stone ACTION move VALUE 320 ACTION jump VALUE 120 ACTION move VALUE 380
145進んで120ジャンプ、125進んで120ジャンプ、340進む	REASON stone ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 125 ACTION jump VALUE 120 ACTION move VALUE 340
215進んで150ジャンプ、435進む	REASON hole ACTION move VALUE 215 ACTION jump VALUE 150 ACTION move VALUE 435
330歩進んで120の高さで跳んで370歩進む	REASON stone ACTION move VALUE 330 ACTION jump VALUE 120 ACTION move VALUE 370
150歩進んで120跳び、130歩進んで120跳び、320歩進む	REASON stone ACTION move VALUE 150 ACTION jump VALUE 120 ACTION move VALUE 130 ACTION jump VALUE 120 ACTION move VALUE 320
235進んで150ジャンプ、415進む	REASON hole ACTION move VALUE 235 ACTION jump VALUE 150 ACTION move VALUE 415
340進んで120ジャンプ、360前進	REASON stone ACTION move VALUE 340 ACTION jump VALUE 120 ACTION move VALUE 360
160進んで120ジャンプ、140進んで120ジャンプ、310進む	REASON stone ACTION move VALUE 160 ACTION jump VALUE 120 ACTION move VALUE 140 ACTION jump VALUE 120 ACTION move VALUE 310
245進んで150ジャンプ、405進む	REASON hole ACTION move VALUE 245 ACTION jump VALUE 150 ACTION move VALUE 405
350進んで120ジャンプしてから350進む	REASON stone ACTION move VALUE 350 ACTION jump VALUE 120 ACTION move VALUE 350
110歩進んで120ジャンプ、110歩進んで120ジャンプ、400歩進む	REASON stone ACTION move VALUE 110 ACTION jump VALUE 120 ACTION move VALUE 110 ACTION jump VALUE 120 ACTION move VALUE 400
145進んで150ジャンプ、515進む	REASON hole ACTION move VALUE 145 ACTION jump VALUE 150 ACTION move VALUE 515
235進んで高さ120でジャンプしてから515進んで	REASON stone ACTION move VALUE 235 ACTION jump VALUE 120 ACTION move VALUE 515
135進んで120ジャンプ、145進んで120ジャンプ、最後に365進んで	REASON stone ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 365
195進んで150ジャンプしてから455進んで	REASON hole ACTION move VALUE 195 ACTION jump VALUE 150 ACTION move VALUE 455
305進んで120の高さで岩を飛び越えて395進んで	REASON stone ACTION move VALUE 305 ACTION jump VALUE 120 ACTION move VALUE 395
105歩進んで120ジャンプして205歩進んで120ジャンプして最後に195歩進んで	REASON stone ACTION move VALUE 105 ACTION jump VALUE 120 ACTION move VALUE 205 ACTION jump VALUE 120 ACTION move VALUE 195
155進んで150の高さで大穴を飛び越えて495進んで	REASON hole ACTION move VALUE 155 ACTION jump VALUE 150 ACTION move VALUE 495
255前進して高さ120まで大ジャンプして445前進する	REASON stone ACTION move VALUE 255 ACTION jump VALUE 120 ACTION move VALUE 445
125進んで120飛んで、155進んで120飛んで、325進む	REASON stone ACTION move VALUE 125 ACTION jump VALUE 120 ACTION move VALUE 155 ACTION jump VALUE 120 ACTION move VALUE 325
185進んで150の大ジャンプをしてから465進む	REASON hole ACTION move VALUE 185 ACTION jump VALUE 150 ACTION move VALUE 465
225歩進んでから120ジャンプして495歩進む	REASON stone ACTION move VALUE 225 ACTION jump VALUE 120 ACTION move VALUE 495
145進んで120跳ねて、135進んで120跳ねて、末尾に355進んで	REASON stone ACTION move VALUE 145 ACTION jump VALUE 120 ACTION move VALUE 135 ACTION jump VALUE 120 ACTION move VALUE 355
215前進して150跳び越えて435前進	REASON hole ACTION move VALUE 215 ACTION jump VALUE 150 ACTION move VALUE 435
245進んで120跳んで505進む	REASON stone ACTION move VALUE 245 ACTION jump VALUE 120 ACTION move VALUE 505
115進んで120ジャンプ、165進んで120ジャンプ、385進む	REASON stone ACTION move VALUE 115 ACTION jump VALUE 120 ACTION move VALUE 165 ACTION jump VALUE 120 ACTION move VALUE 385
195進んで150ジャンプして455進む	REASON hole ACTION move VALUE 195 ACTION jump VALUE 150 ACTION move VALUE 455
265歩進んで120の高さでジャンプし475歩進む	REASON stone ACTION move VALUE 265 ACTION jump VALUE 120 ACTION move VALUE 475
120進んで120ジャンプ、150進んで120ジャンプ、360進む	REASON stone ACTION move VALUE 120 ACTION jump VALUE 120 ACTION move VALUE 150 ACTION jump VALUE 120 ACTION move VALUE 360
