stage1 岩の手前まで230進んで90ジャンプして406歩ゴールまで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 90 ACTION move VALUE 406
stage2 143移動して175ジャンプ、33移動して46ジャンプ、327移動	REASON stone ACTION move VALUE 143 ACTION jump VALUE 175 ACTION move VALUE 33 ACTION jump VALUE 46 ACTION move VALUE 327
stage3 206歩進んで57高さで穴を越えて461歩ゴールへ	REASON hole ACTION move VALUE 206 ACTION jump VALUE 57 ACTION move VALUE 461
stage1 岩を越えてゴールまで進んで	REASON stone ACTION move VALUE 360 ACTION jump VALUE 10 ACTION move VALUE 257
stage2 107進んで89の力でジャンプ、62進んで92の力でジャンプして281進んで	REASON stone ACTION move VALUE 107 ACTION jump VALUE 89 ACTION move VALUE 62 ACTION jump VALUE 92 ACTION move VALUE 281
stage1 1個の岩を234進んで106ジャンプして403進んで越える	REASON stone ACTION move VALUE 234 ACTION jump VALUE 106 ACTION move VALUE 403
stage3 208歩進んで97高さで穴を越えて416歩ゴールへ	REASON hole ACTION move VALUE 208 ACTION jump VALUE 97 ACTION move VALUE 416
stage2 137歩進んで高さ52でジャンプ、続けて29進んで142でジャンプして294進む	REASON stone ACTION move VALUE 137 ACTION jump VALUE 52 ACTION move VALUE 29 ACTION jump VALUE 142 ACTION move VALUE 294
stage1 153進んで170ジャンプして224進む	REASON stone ACTION move VALUE 153 ACTION jump VALUE 170 ACTION move VALUE 224
stage1 295歩走って144高さで跳んで158歩進む	REASON stone ACTION move VALUE 295 ACTION jump VALUE 144 ACTION move VALUE 158
stage1 235進んで130の高さでジャンプして441歩すすむ	REASON stone ACTION move VALUE 235 ACTION jump VALUE 130 ACTION move VALUE 441
stage2 まず144進んで9ジャンプ、次に113進んで127ジャンプ、181進んでゴール	REASON stone ACTION move VALUE 144 ACTION jump VALUE 9 ACTION move VALUE 113 ACTION jump VALUE 127 ACTION move VALUE 181
stage3 穴の手前まで202進んで49の高さでジャンプして向こうまで434進んで	REASON hole ACTION move VALUE 202 ACTION jump VALUE 49 ACTION move VALUE 434
stage1 241歩走って13高さで跳んで417歩進む	REASON stone ACTION move VALUE 241 ACTION jump VALUE 13 ACTION move VALUE 417
stage3 75進んで64ジャンプして366進む	REASON hole ACTION move VALUE 75 ACTION jump VALUE 64 ACTION move VALUE 366
stage2 143歩進んで高さ78でジャンプ、続けて33進んで128でジャンプして334進む	REASON stone ACTION move VALUE 143 ACTION jump VALUE 78 ACTION move VALUE 33 ACTION jump VALUE 128 ACTION move VALUE 334
stage2 まず136進んで65ジャンプ、次に41進んで83ジャンプ、61進んでゴール	REASON stone ACTION move VALUE 136 ACTION jump VALUE 65 ACTION move VALUE 41 ACTION jump VALUE 83 ACTION move VALUE 61
stage2 最初に138進んで170ジャンプ、次30進んで52ジャンプ、最後275進む	REASON stone ACTION move VALUE 138 ACTION jump VALUE 170 ACTION move VALUE 30 ACTION jump VALUE 52 ACTION move VALUE 275
stage1 1個の岩を238進んで125ジャンプして422進んで越える	REASON stone ACTION move VALUE 238 ACTION jump VALUE 125 ACTION move VALUE 422
stage1 156進んで123ジャンプして439進む	REASON stone ACTION move VALUE 156 ACTION jump VALUE 123 ACTION move VALUE 439
stage3 208歩進んで4高さで穴を越えて472歩ゴールへ	REASON hole ACTION move VALUE 208 ACTION jump VALUE 4 ACTION move VALUE 472
stage2 121移動して93ジャンプ、33移動して180ジャンプ、最後に290移動	REASON stone ACTION move VALUE 121 ACTION jump VALUE 93 ACTION move VALUE 33 ACTION jump VALUE 180 ACTION move VALUE 290
stage1 47歩進んで高さ86でジャンプして479進む	REASON stone ACTION move VALUE 47 ACTION jump VALUE 86 ACTION move VALUE 479
stage1 岩の手前まで243進んで127ジャンプして415歩ゴールまで	REASON stone ACTION move VALUE 243 ACTION jump VALUE 127 ACTION move VALUE 415
stage3 204移動して21ジャンプ、着地後434移動	REASON hole ACTION move VALUE 204 ACTION jump VALUE 21 ACTION move VALUE 434
stage3 207歩進んで27の高さで穴を跳び越えて438歩進む	REASON hole ACTION move VALUE 207 ACTION jump VALUE 27 ACTION move VALUE 438
stage3 204進んで高さ34でジャンプして403進む	REASON hole ACTION move VALUE 204 ACTION jump VALUE 34 ACTION move VALUE 403
stage3 208歩走って126でとんで456歩すすむ	REASON hole ACTION move VALUE 208 ACTION jump VALUE 126 ACTION move VALUE 456
stage2 まず115進んで90の高さでジャンプ、次に55進んで130でジャンプし284進んでゴール	REASON stone ACTION move VALUE 115 ACTION jump VALUE 90 ACTION move VALUE 55 ACTION jump VALUE 130 ACTION move VALUE 284
stage1 まず243進んで、67でジャンプして、その後342進んで	REASON stone ACTION move VALUE 243 ACTION jump VALUE 67 ACTION move VALUE 342
stage1 243進んで125ジャンプして142進む	REASON stone ACTION move VALUE 243 ACTION jump VALUE 125 ACTION move VALUE 142
stage3 207進んで高さ30でジャンプして385進む	REASON hole ACTION move VALUE 207 ACTION jump VALUE 30 ACTION move VALUE 385
stage2 岩を2回越えて	REASON stone ACTION move VALUE 90 ACTION jump VALUE 39 ACTION move VALUE 187 ACTION jump VALUE 13 ACTION move VALUE 167
stage2 143歩走って132高さで跳んで47歩進んで130高さで跳んで259歩ゴール	REASON stone ACTION move VALUE 143 ACTION jump VALUE 132 ACTION move VALUE 47 ACTION jump VALUE 130 ACTION move VALUE 259
stage2 120移動して10ジャンプ、41移動して113ジャンプ、282移動	REASON stone ACTION move VALUE 120 ACTION jump VALUE 10 ACTION move VALUE 41 ACTION jump VALUE 113 ACTION move VALUE 282
stage1 286歩走って156高さで跳んで274歩進む	REASON stone ACTION move VALUE 286 ACTION jump VALUE 156 ACTION move VALUE 274
stage2 走ってジャンプを2回して進んで	REASON stone ACTION move VALUE 88 ACTION jump VALUE 21 ACTION move VALUE 37 ACTION jump VALUE 41 ACTION move VALUE 119
stage3 198歩走って233歩進む	REASON hole ACTION move VALUE 198 ACTION move VALUE 233
stage2 102歩走って85高さで跳んで93歩進んで135高さで跳んで295歩ゴール	REASON stone ACTION move VALUE 102 ACTION jump VALUE 85 ACTION move VALUE 93 ACTION jump VALUE 135 ACTION move VALUE 295
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 242 ACTION jump VALUE 76 ACTION move VALUE 82
stage2 136歩進んで60で飛んで、15歩進んで70で飛んで284歩すすむ	REASON stone ACTION move VALUE 136 ACTION jump VALUE 60 ACTION move VALUE 15 ACTION jump VALUE 70 ACTION move VALUE 284
stage3 大きな穴を跳び越えて	REASON hole ACTION move VALUE 33 ACTION jump VALUE 38 ACTION move VALUE 43
stage3 204進んで高さ5でジャンプして462進む	REASON hole ACTION move VALUE 204 ACTION jump VALUE 5 ACTION move VALUE 462
stage3 204歩進んで172高さで穴を越えて419歩ゴールへ	REASON hole ACTION move VALUE 204 ACTION jump VALUE 172 ACTION move VALUE 419
stage2 123進んで145の力でジャンプ、45進んで149の力でジャンプして314進んで	REASON stone ACTION move VALUE 123 ACTION jump VALUE 145 ACTION move VALUE 45 ACTION jump VALUE 149 ACTION move VALUE 314
stage1 248移動してから高さ75でジャンプし、380移動して	REASON stone ACTION move VALUE 248 ACTION jump VALUE 75 ACTION move VALUE 380
stage2 113歩進んで高さ18でジャンプ、126進んで66でジャンプして395進む	REASON stone ACTION move VALUE 113 ACTION jump VALUE 18 ACTION move VALUE 126 ACTION jump VALUE 66 ACTION move VALUE 395
stage1 スタートから249進んで高さ154でジャンプして410進んでゴール	REASON stone ACTION move VALUE 249 ACTION jump VALUE 154 ACTION move VALUE 410
stage2 まず104進んで153の高さでジャンプ、次に69進んで90でジャンプし260進んでゴール	REASON stone ACTION move VALUE 104 ACTION jump VALUE 153 ACTION move VALUE 69 ACTION jump VALUE 90 ACTION move VALUE 260
stage2 136歩走って88高さで跳んで24歩進んで133高さで跳んで336歩ゴール	REASON stone ACTION move VALUE 136 ACTION jump VALUE 88 ACTION move VALUE 24 ACTION jump VALUE 133 ACTION move VALUE 336
stage1 岩の手前まで246進んで168ジャンプして340歩ゴールまで	REASON stone ACTION move VALUE 246 ACTION jump VALUE 168 ACTION move VALUE 340
stage2 1つ目の岩まで149進んで156でジャンプ、2つ目まで32進んで152でジャンプして22進んで	REASON stone ACTION move VALUE 149 ACTION jump VALUE 156 ACTION move VALUE 32 ACTION jump VALUE 152 ACTION move VALUE 22
